Year,Gender,Age,DayOfWeek,Hour,Location,Severity
2016,Male,65,Tuesday,9,Comrat,Without fatalities
2020,Female,39,Wednesday,5,Cahul,Without fatalities
2024,Female,27,Saturday,16,Orhei,Without fatalities
2022,Female,41,Sunday,5,Comrat,Without fatalities
2020,Male,31,Saturday,6,Comrat,Without fatalities
2023,Female,30,Sunday,12,Ungheni,Without fatalities
2022,Female,46,Thursday,5,Cahul,With fatalities
2022,Male,18,Saturday,2,Chișinău,Without fatalities
2022,Male,18,Saturday,12,Comrat,Without fatalities
2022,Male,40,Thursday,9,Hîncești,Without fatalities
2024,Male,39,Tuesday,3,Chișinău,With fatalities
2021,Female,45,Wednesday,4,Soroca,Without fatalities
2022,Male,68,Friday,20,Ungheni,Without fatalities
2021,Female,41,Wednesday,18,Bălți,Without fatalities
2022,Male,48,Tuesday,17,Comrat,Without fatalities
2024,Male,25,Wednesday,23,Comrat,Without fatalities
2020,Female,51,Thursday,6,Edineț,Without fatalities
2021,Female,32,Saturday,20,Cahul,Without fatalities
2021,Female,41,Saturday,0,Orhei,Without fatalities
2020,Male,38,Friday,16,Ungheni,Without fatalities
2023,Male,55,Tuesday,23,Cahul,Without fatalities
2018,Female,20,Saturday,19,Ungheni,With fatalities
2021,Female,18,Tuesday,19,Chișinău,Without fatalities
2024,Male,36,Monday,17,Comrat,Without fatalities
2017,Female,47,Sunday,4,Comrat,Without fatalities
2014,Female,42,Friday,21,Comrat,Without fatalities
2019,Male,58,Sunday,5,Bălți,Without fatalities
2024,Female,46,Tuesday,9,Chișinău,Without fatalities
2016,Male,31,Wednesday,18,Hîncești,Without fatalities
2017,Male,18,Wednesday,9,Bălți,With fatalities
2019,Male,36,Wednesday,5,Soroca,Without fatalities
2023,Female,55,Wednesday,9,Soroca,Without fatalities
2023,Female,34,Tuesday,9,Edineț,With fatalities
2016,Female,40,Thursday,20,Chișinău,Without fatalities
2024,Female,46,Friday,11,Comrat,Without fatalities
2018,Male,24,Wednesday,23,Cahul,Without fatalities
2019,Male,49,Tuesday,3,Bălți,Without fatalities
2020,Female,64,Saturday,12,Soroca,With fatalities
2022,Female,37,Saturday,9,Ungheni,Without fatalities
2021,Female,23,Tuesday,15,Hîncești,Without fatalities
2024,Female,39,Wednesday,18,Chișinău,With fatalities
2022,Male,18,Monday,5,Cahul,Without fatalities
2024,Female,45,Tuesday,8,Cahul,With fatalities
2016,Male,46,Friday,13,Ungheni,Without fatalities
2024,Female,65,Friday,23,Comrat,Without fatalities
2018,Female,37,Monday,9,Soroca,Without fatalities
2020,Female,46,Saturday,7,Orhei,Without fatalities
2019,Male,27,Saturday,2,Cahul,Without fatalities
2020,Female,34,Tuesday,16,Soroca,Without fatalities
2024,Male,18,Monday,18,Bălți,Without fatalities
2021,Male,37,Tuesday,2,Ungheni,Without fatalities
2019,Female,35,Tuesday,13,Cahul,Without fatalities
2019,Male,44,Monday,5,Cahul,Without fatalities
2023,Male,30,Saturday,18,Ungheni,Without fatalities
2021,Male,41,Sunday,17,Edineț,Without fatalities
2021,Female,34,Thursday,11,Edineț,Without fatalities
2024,Male,35,Wednesday,14,Chișinău,With fatalities
2024,Male,41,Wednesday,5,Soroca,Without fatalities
2023,Female,40,Wednesday,20,Bălți,With fatalities
2021,Female,51,Monday,11,Orhei,Without fatalities
2016,Male,38,Tuesday,18,Cahul,Without fatalities
2023,Male,34,Sunday,6,Hîncești,Without fatalities
2023,Male,37,Sunday,22,Hîncești,Without fatalities
2024,Male,29,Tuesday,19,Edineț,Without fatalities
2022,Female,34,Friday,9,Bălți,Without fatalities
2022,Female,70,Sunday,17,Bălți,Without fatalities
2023,Male,26,Tuesday,1,Bălți,With fatalities
2024,Female,35,Saturday,12,Soroca,Without fatalities
2015,Male,34,Thursday,14,Hîncești,With fatalities
2022,Female,36,Wednesday,23,Comrat,Without fatalities
2020,Female,35,Sunday,3,Comrat,Without fatalities
2023,Male,44,Saturday,6,Cahul,Without fatalities
2017,Male,18,Saturday,2,Cahul,With fatalities
2024,Male,55,Sunday,15,Cahul,Without fatalities
2017,Male,49,Sunday,8,Chișinău,Without fatalities
2016,Female,21,Thursday,22,Edineț,Without fatalities
2020,Female,18,Wednesday,22,Bălți,Without fatalities
2024,Male,25,Sunday,16,Comrat,With fatalities
2022,Female,36,Monday,7,Hîncești,Without fatalities
2014,Female,78,Thursday,17,Bălți,With fatalities
2018,Male,48,Saturday,23,Chișinău,Without fatalities
2017,Male,18,Sunday,12,Soroca,Without fatalities
2014,Female,29,Tuesday,1,Soroca,Without fatalities
2021,Male,39,Wednesday,0,Chișinău,With fatalities
2020,Male,43,Friday,15,Hîncești,Without fatalities
2022,Female,20,Thursday,15,Cahul,Without fatalities
2018,Female,37,Saturday,10,Bălți,Without fatalities
2023,Male,29,Monday,23,Comrat,Without fatalities
